iter	RMSE
0	14.00670553
1	13.90886873
2	13.81438758
3	13.71193784
4	13.61514068
5	13.52746645
6	13.46510515
7	13.38804195
8	13.32063253
9	13.24978648
10	13.19396585
11	13.13191962
12	13.07657347
13	13.02089652
14	12.96708739
15	12.92378924
16	12.87942334
17	12.82734516
18	12.78382915
19	12.74102825
20	12.69806404
21	12.65570999
22	12.62976066
23	12.59198521
24	12.55676173
25	12.5270196
26	12.50595376
27	12.47650201
28	12.44527907
29	12.41684992
30	12.39231248
31	12.36443506
32	12.3437366
33	12.32201867
34	12.29711352
35	12.27685828
36	12.25160409
37	12.22996263
38	12.21949379
39	12.20508911
40	12.19394865
41	12.1736186
42	12.15591686
43	12.14081082
44	12.12537109
45	12.11510173
46	12.10024311
47	12.07775249
48	12.06373775
49	12.0476443
50	12.03193007
51	12.0199163
52	12.00485878
53	11.98660723
54	11.97618592
55	11.97067116
56	11.9571356
57	11.94293432
58	11.9342997
59	11.92303045
60	11.90947546
61	11.89741609
62	11.8859998
63	11.87575317
64	11.86437095
65	11.85732277
66	11.84713886
67	11.83623112
68	11.82749565
69	11.82193936
70	11.81631512
71	11.81548568
72	11.80874176
73	11.80611461
74	11.80232884
75	11.79261631
76	11.79062711
77	11.78895598
78	11.78113125
79	11.77191405
80	11.76471655
81	11.7558735
82	11.74593927
83	11.73878575
84	11.73517934
85	11.72844827
86	11.72052706
87	11.71596562
88	11.70848219
89	11.70348284
90	11.69939002
91	11.69236969
92	11.68937602
93	11.68343501
94	11.68030397
95	11.67882272
96	11.67386157
97	11.66944535
98	11.66267907
99	11.65631406
100	11.65545775
101	11.65364663
102	11.64616553
103	11.64222804
104	11.63853155
105	11.63409751
106	11.62832614
107	11.62309704
108	11.62237923
109	11.61967092
110	11.61381046
111	11.60997798
112	11.60904888
113	11.60842053
114	11.59981134
115	11.59548217
116	11.59209035
117	11.58538054
118	11.57975445
119	11.57237701
120	11.56851555
121	11.5649836
122	11.56491692
123	11.56114948
124	11.5542721
125	11.55226416
126	11.54960842
127	11.54794037
128	11.54753683
129	11.54240172
130	11.53727899
131	11.53418477
132	11.52854132
133	11.52251503
134	11.51675049
135	11.51086778
136	11.50889835
137	11.50518922
138	11.50477595
139	11.50177954
140	11.50013378
141	11.49911847
142	11.49310855
143	11.4912727
144	11.48966178
145	11.48696877
146	11.48599412
147	11.48045191
148	11.4803821
149	11.47829804
150	11.4745785
151	11.47275245
152	11.46899477
153	11.46410186
154	11.46396013
155	11.46048997
156	11.45436905
157	11.45255323
158	11.44919954
159	11.44907439
160	11.44808071
161	11.44382747
162	11.43959646
163	11.43533256
164	11.43114432
165	11.4291865
166	11.42588635
167	11.42174316
168	11.41653335
169	11.4141975
170	11.41068926
171	11.40736586
172	11.4073416
173	11.40529201
174	11.40199399
175	11.39824175
176	11.39678244
177	11.39372941
178	11.39066627
179	11.38878056
180	11.38875912
181	11.38544117
182	11.38253547
183	11.37747907
184	11.37298053
185	11.37044087
186	11.36819522
187	11.36516814
188	11.3612508
189	11.35779304
190	11.35412398
191	11.3515964
192	11.35101739
193	11.34805645
194	11.34490471
195	11.34300918
196	11.33763176
197	11.33618366
198	11.3322826
199	11.32842422
200	11.32534847
201	11.32221353
202	11.31986067
203	11.31687113
204	11.31415313
205	11.31077563
206	11.30801146
207	11.30562177
208	11.30348413
209	11.29909302
210	11.29610233
211	11.29470476
212	11.2922685
213	11.2902554
214	11.28700516
215	11.28503168
216	11.282362
217	11.27946211
218	11.27646603
219	11.27450479
220	11.27190425
221	11.26973386
222	11.2677014
223	11.26501116
224	11.26277943
225	11.2607907
226	11.25828628
227	11.25553182
228	11.25374207
229	11.25219345
230	11.25017164
231	11.24884147
232	11.24724081
233	11.24483401
234	11.24297912
235	11.24103459
236	11.239526
237	11.23765198
238	11.23532325
239	11.23266404
240	11.22905512
241	11.22701889
242	11.2236074
243	11.22223977
244	11.22094453
245	11.21834836
246	11.21507406
247	11.21249482
248	11.21025164
249	11.20889341
250	11.20730145
251	11.20419583
252	11.2031482
253	11.20075232
254	11.19775033
255	11.19541177
256	11.19387842
257	11.19165579
258	11.18937312
259	11.18727522
260	11.18603861
261	11.18422588
262	11.18264401
263	11.18169106
264	11.17975095
265	11.17753514
266	11.17559905
267	11.17475082
268	11.17332669
269	11.17046999
270	11.16752276
271	11.16651424
272	11.16391917
273	11.16270592
274	11.16177102
275	11.1604914
276	11.15803487
277	11.15558005
278	11.15466635
279	11.15347016
280	11.15163727
281	11.15049111
282	11.1489358
283	11.14689104
284	11.14603227
285	11.14520424
286	11.14387642
287	11.14212073
288	11.14107152
289	11.14019404
290	11.13929301
291	11.13830311
292	11.1362031
293	11.1347721
294	11.1330488
295	11.13098603
296	11.12922543
297	11.12711302
298	11.12541365
299	11.12379818
300	11.12138096
301	11.11933578
302	11.11811375
303	11.11735402
304	11.1164401
305	11.11455413
306	11.11314763
307	11.11228537
308	11.11016969
309	11.10890903
310	11.107133
311	11.10637263
312	11.10532461
313	11.10442477
314	11.10347441
315	11.10241108
316	11.1015928
317	11.10018197
318	11.09940157
319	11.09887204
320	11.0979953
321	11.09584631
322	11.09515896
323	11.09443458
324	11.09370954
325	11.09201727
326	11.09012987
327	11.08882308
328	11.08789187
329	11.08656334
330	11.0853505
331	11.08394955
332	11.08198227
333	11.08140927
334	11.08046234
335	11.07865491
336	11.07744666
337	11.07688979
338	11.0759231
339	11.07507077
340	11.07395968
341	11.07313785
342	11.07175882
343	11.07026083
344	11.0690689
345	11.0674394
346	11.0666749
347	11.06553077
348	11.06432837
349	11.0633509
350	11.06255561
351	11.06176462
352	11.06084946
353	11.05984933
354	11.05870522
355	11.05727377
356	11.05582919
357	11.05454609
358	11.05299998
359	11.0522022
360	11.05165377
361	11.04995349
362	11.04949671
363	11.04827447
364	11.0471429
365	11.04663081
366	11.04573177
367	11.04515285
368	11.04462475
369	11.04359404
370	11.04260688
371	11.0410594
372	11.04038426
373	11.04001331
374	11.03911768
375	11.03846605
376	11.03698139
377	11.0362342
378	11.03519647
379	11.03472552
380	11.03407934
381	11.03345484
382	11.03256221
383	11.03115979
384	11.02983097
385	11.02942749
386	11.02851466
387	11.02762094
388	11.02655469
389	11.02602902
390	11.02465725
391	11.02353454
392	11.0223807
393	11.02206501
394	11.02147206
395	11.02053899
396	11.01992098
397	11.01880471
398	11.01824149
399	11.01768516
400	11.01678678
401	11.01573921
402	11.01499886
403	11.01390598
404	11.01306726
405	11.01229767
406	11.01131265
407	11.01036211
408	11.00982895
409	11.00932233
410	11.00867907
411	11.00821283
412	11.00748193
413	11.00677371
414	11.00610318
415	11.0054252
416	11.00495628
417	11.00386149
418	11.00317009
419	11.0022447
420	11.00162051
421	11.00089966
422	11.00026218
423	10.99974788
424	10.99944708
425	10.99874545
426	10.99807246
427	10.99759882
428	10.99725009
429	10.99648462
430	10.99614151
431	10.99568116
432	10.99506074
433	10.9940809
434	10.99333553
435	10.99252304
436	10.99209229
437	10.99170862
438	10.99106534
439	10.99029319
440	10.98927379
441	10.98898606
442	10.98818447
443	10.98737595
444	10.98666381
445	10.98598134
446	10.98564993
447	10.98473881
448	10.98386707
449	10.98312404
450	10.98247475
451	10.98195035
452	10.98155177
453	10.98116371
454	10.98064841
455	10.98025587
456	10.97963071
457	10.97874844
458	10.97797705
459	10.97765428
460	10.97701818
461	10.97615924
462	10.97556795
463	10.97492742
464	10.97418276
465	10.9738023
466	10.97346231
467	10.97319132
468	10.97259395
469	10.97204924
470	10.97153183
471	10.97112883
472	10.97036453
473	10.96963172
474	10.9690808
475	10.96836344
476	10.96788035
477	10.96760318
478	10.96731256
479	10.96688334
480	10.96660667
481	10.96632924
482	10.96604482
483	10.96558961
484	10.96494327
485	10.96463593
486	10.96437245
487	10.96411482
488	10.96372823
